1,2,20;0,4,10;1,1,4;
1,2,14;0,4,10;1,5,10;
1,5,10;0,4,10;2,6,10;
0,4,20;2,6,10;1,5,10;
0,4,14;1,5,10;2,6,10;
2,6,20;0,4,14;1,5,10;
2,6,20;0,4,14;2,10,10;
2,6,20;0,4,14;2,10,10;
2,6,24;0,4,14;2,10,10;
2,6,24;2,10,10;0,13,10;
2,6,24;0,13,20;2,10,10;
2,6,34;0,13,20;2,10,10;
2,6,34;0,13,20;1,8,14;
2,6,28;0,13,20;1,8,14;
2,6,28;0,13,20;1,8,14;
2,6,28;0,13,20;0,18,20;
2,6,24;0,18,20;0,13,20;
2,6,24;0,13,20;0,18,20;
0,18,20;0,13,20;2,6,18;
0,13,20;0,18,20;1,21,20;
1,21,20;0,18,20;1,17,20;
1,17,20;0,18,20;1,21,20;
1,21,20;0,18,20;1,17,20;
1,17,20;0,18,20;1,21,20;
1,21,20;0,18,20;1,17,20;
2,10,24;1,17,20;0,18,20;
2,10,34;0,18,20;1,17,20;
2,10,34;0,18,20;1,21,20;
2,10,30;1,21,20;0,18,14;
2,10,30;1,21,20;0,18,14;
2,10,30;1,21,20;0,26,20;
0,26,30;2,10,30;1,21,20;
2,10,30;0,26,30;1,21,20;
0,26,30;2,10,30;0,13,18;
2,10,30;0,26,30;0,13,18;
0,26,30;2,10,30;2,6,24;
0,26,40;2,10,30;2,6,24;
0,26,40;2,10,30;2,6,24;
0,26,40;2,6,34;2,10,30;
0,26,40;2,6,34;0,13,34;
0,26,40;2,6,34;0,13,30;
2,6,44;0,26,40;0,13,30;
2,6,44;0,26,34;0,13,30;
2,6,40;0,26,34;0,13,30;
2,6,40;0,26,34;0,13,30;
2,6,40;0,26,34;0,13,30;
0,13,40;2,6,40;0,26,34;
2,6,40;0,13,40;0,26,34;
0,13,40;2,6,40;0,26,34;
2,6,40;0,13,40;0,26,34;
2,6,50;0,13,40;0,26,34;
2,6,60;0,13,40;0,26,34;
2,6,60;0,13,40;0,26,34;
2,6,60;0,13,40;0,26,34;
2,6,60;0,13,40;0,26,34;
2,6,60;0,13,40;0,26,34;
2,6,60;0,13,50;2,10,32;
2,6,60;0,13,50;2,10,32;
2,6,60;0,13,50;2,10,42;
2,6,70;0,13,44;2,10,42;
2,6,70;0,13,54;2,10,42;
2,6,64;0,13,54;2,10,42;
2,6,64;0,13,54;2,10,42;
2,6,64;0,13,54;2,10,42;
2,6,64;0,13,54;2,10,52;
2,6,58;0,13,54;2,10,52;
2,6,58;0,13,54;2,10,52;
2,6,58;0,13,54;2,10,52;
2,6,58;2,10,52;0,13,48;
2,10,62;2,6,58;0,13,48;
2,10,62;2,6,52;0,13,48;
2,10,62;2,6,52;0,13,42;
2,10,62;2,6,52;0,13,42;
2,10,58;2,6,52;0,13,42;
2,10,58;2,6,52;0,13,42;
2,10,58;2,6,46;0,13,42;
2,10,58;2,6,46;0,13,42;
2,10,58;2,6,56;0,13,42;
2,10,58;2,6,56;0,13,42;
2,6,66;2,10,58;0,13,42;
2,6,66;2,10,58;0,13,42;
2,6,76;2,10,58;0,13,42;
2,6,76;2,10,58;0,13,42;
2,6,76;2,10,58;0,13,42;
2,6,86;2,10,58;1,57,40;
2,6,86;2,10,48;1,57,40;
2,6,96;2,10,48;1,57,40;
2,6,96;2,10,48;1,57,40;
2,6,96;2,10,44;1,57,40;
2,6,106;1,57,40;2,10,38;
2,6,100;1,57,40;2,10,38;
2,6,100;1,57,40;2,10,38;
2,6,94;1,57,40;2,10,38;
2,6,104;1,57,40;2,10,38;
2,6,104;1,57,40;2,10,38;
2,6,104;1,57,40;0,69,40;
2,6,104;0,69,40;2,10,38;
2,6,104;0,69,40;2,10,38;
2,6,104;0,69,40;2,10,38;
2,6,114;0,69,40;2,10,38;
2,6,114;0,69,40;2,10,38;
2,6,114;0,69,40;2,10,38;
2,6,114;0,69,40;2,10,38;
2,6,114;0,69,40;0,66,40;
2,6,114;0,66,40;0,69,40;
2,6,114;0,66,50;0,69,40;
2,6,108;0,66,50;0,69,40;
2,6,108;0,66,50;0,69,40;
2,6,108;0,66,50;0,69,40;
2,6,104;0,66,50;0,69,40;
2,6,104;0,66,50;0,69,40;
2,6,104;0,66,44;0,69,40;
2,6,104;0,66,44;0,69,40;
2,6,104;0,66,44;0,69,40;
2,6,104;0,66,44;0,69,40;
2,6,100;0,66,44;0,69,40;
2,6,100;0,66,44;0,13,40;
2,6,100;0,66,44;0,13,40;
2,6,100;0,66,44;0,13,40;
2,6,100;0,66,44;0,13,40;
2,6,100;0,66,44;0,13,40;
2,6,100;0,66,44;2,82,40;
2,6,100;0,66,44;2,82,40;
2,6,100;1,31,50;0,66,44;
2,6,96;1,31,50;0,66,44;
2,6,96;1,31,50;0,66,44;
2,6,96;1,31,50;0,66,44;
2,6,96;1,31,50;0,66,44;
2,6,96;1,31,50;0,66,44;
2,6,96;1,31,50;0,66,44;
2,6,96;1,31,50;0,66,44;
2,6,96;1,31,50;0,66,44;
2,6,96;1,31,50;2,82,40;
2,6,92;1,31,60;2,82,40;
2,6,92;1,31,60;2,82,40;
2,6,102;1,31,60;2,82,40;
2,6,102;1,31,60;0,66,48;
2,6,96;1,31,60;0,66,58;
2,6,96;1,31,60;0,66,58;
2,6,106;1,31,60;0,66,58;
2,6,106;1,31,60;0,66,58;
2,6,100;1,31,60;0,66,58;
2,6,100;1,31,60;0,66,58;
2,6,100;1,31,60;0,66,58;
2,6,94;1,31,60;0,66,58;
2,6,94;1,31,60;0,66,58;
2,6,94;1,31,60;0,66,58;
2,6,94;1,31,60;0,66,58;
2,6,94;1,31,60;0,66,58;
2,6,88;1,31,60;0,66,58;
2,6,88;1,31,60;0,66,58;
2,6,88;1,31,60;0,66,58;
2,6,88;1,31,60;0,113,60;
2,6,92;0,113,60;1,31,60;
2,6,92;0,113,60;0,66,58;
2,6,92;0,113,60;0,66,58;
2,6,92;0,113,60;0,66,58;
2,6,92;0,113,60;0,66,58;
2,6,86;0,113,60;0,66,58;
2,6,86;0,113,60;0,66,58;
2,6,82;0,113,60;0,66,58;
2,6,82;2,82,68;0,113,60;
2,6,82;2,82,68;0,113,60;
2,6,78;2,82,62;0,113,60;
2,6,78;2,82,62;0,113,60;
2,6,72;2,82,62;0,113,60;
2,6,72;2,82,62;0,113,60;
2,6,72;2,82,62;0,113,60;
2,6,72;0,113,70;2,82,62;
2,82,72;2,6,72;0,113,70;
2,6,72;2,82,72;0,113,70;
2,82,72;2,6,72;0,113,70;
2,6,82;2,82,72;0,113,70;
2,6,92;2,82,72;0,113,70;
2,6,92;2,82,72;0,113,70;
2,6,86;2,82,82;0,113,70;
2,6,86;2,82,82;0,113,70;
2,6,86;2,82,82;0,113,70;
2,6,86;2,82,82;0,113,70;
2,6,86;2,82,82;0,113,80;
0,113,90;2,6,86;2,82,82;
0,113,90;2,6,86;2,82,82;
